Country,Item Type,Order Priority,Units Sold,Unit Price,Unit Cost,Year,Order Date
Germany,Cereal,C,3914,205.7,117.11,2017,6-12-2017
Turkey,Cereal,H,1030,205.7,117.11,2016,9-11-2016
Finland,Vegetables,L,1152,154.06,90.93,2016,2-11-2016
Iceland,Meat,H,566,421.89,364.69,2016,11-6-2016
Turkey,Vegetables,C,5629,154.06,90.93,2015,9-3-2015
Turkey,Cereal,C,1568,205.7,117.11,2016,3-7-2016
Finland,Vegetables,H,3125,154.06,90.93,2016,10-10-2016
Finland,Meat,H,4931,421.89,364.69,2015,3-6-2015
Turkey,Meat,H,7039,421.89,364.69,2016,11-3-2016
Germany,Clothes,L,3164,109.28,35.84,2017,3-3-2017
Germany,Clothes,M,1848,109.28,35.84,2015,11-4-2015
Norway,Cereal,M,8796,205.7,117.11,2016,5-9-2016
Finland,Clothes,M,4593,109.28,35.84,2015,3-8-2015
Germany,Vegetables,L,9227,154.06,90.93,2016,9-8-2016
Germany,Cereal,L,2864,205.7,117.11,2016,2-2-2016
Germany,Meat,H,2114,421.89,364.69,2017,2-8-2017
Iceland,Cereal,M,7857,205.7,117.11,2016,2-10-2016
Germany,Cereal,L,6115,205.7,117.11,2016,10-8-2016
Norway,Cereal,H,5980,205.7,117.11,2015,10-8-2015
Germany,Cereal,M,9534,205.7,117.11,2016,1-10-2016
Turkey,Vegetables,H,7322,154.06,90.93,2016,3-3-2016
Germany,Clothes,C,5820,109.28,35.84,2017,6-9-2017
Finland,Clothes,C,6317,109.28,35.84,2016,5-2-2016
Iceland,Cereal,M,8323,205.7,117.11,2016,11-12-2016
Germany,Clothes,M,8903,109.28,35.84,2015,8-7-2015
Finland,Cereal,C,9429,205.7,117.11,2016,4-2-2016
Turkey,Meat,M,8032,421.89,364.69,2017,4-9-2017
Finland,Clothes,L,8124,109.28,35.84,2016,1-12-2016
Norway,Cereal,M,9918,205.7,117.11,2016,6-10-2016
Iceland,Vegetables,L,9037,154.06,90.93,2015,11-1-2015
Finland,Cereal,C,1341,205.7,117.11,2015,8-8-2015
Finland,Meat,M,5019,421.89,364.69,2016,10-5-2016
Norway,Vegetables,H,9717,154.06,90.93,2016,10-3-2016
Norway,Cereal,H,4534,205.7,117.11,2017,3-5-2017
Norway,Vegetables,C,1292,154.06,90.93,2015,1-4-2015
Norway,Clothes,C,2923,109.28,35.84,2016,7-7-2016
Iceland,Meat,H,3352,421.89,364.69,2016,10-11-2016
Norway,Cereal,M,402,205.7,117.11,2015,4-6-2015
Finland,Vegetables,C,1897,154.06,90.93,2017,1-12-2017
Germany,Cereal,L,3708,205.7,117.11,2016,1-5-2016
Turkey,Clothes,H,865,109.28,35.84,2017,1-8-2017
Iceland,Clothes,H,549,109.28,35.84,2015,2-4-2015
Finland,Vegetables,L,2261,154.06,90.93,2016,1-3-2016
Iceland,Cereal,H,6075,205.7,117.11,2016,6-3-2016
Germany,Cereal,L,4905,205.7,117.11,2015,2-4-2015
Iceland,Cereal,H,5418,205.7,117.11,2017,2-1-2017
Germany,Meat,M,7002,421.89,364.69,2017,5-10-2017
Iceland,Cereal,M,9840,205.7,117.11,2016,8-1-2016
Norway,Clothes,L,2892,109.28,35.84,2015,11-10-2015
Germany,Cereal,M,1765,205.7,117.11,2016,1-3-2016
Iceland,Clothes,L,4434,109.28,35.84,2015,2-8-2015
Norway,Cereal,H,8460,205.7,117.11,2015,4-4-2015
Finland,Clothes,L,4930,109.28,35.84,2016,4-11-2016
Finland,Cereal,C,7446,205.7,117.11,2015,10-12-2015
Turkey,Clothes,L,9301,109.28,35.84,2016,3-9-2016
Norway,Clothes,C,4746,109.28,35.84,2016,9-2-2016
Turkey,Cereal,C,1071,205.7,117.11,2017,3-1-2017
Norway,Meat,C,8937,421.89,364.69,2016,1-7-2016
Iceland,Clothes,H,5749,109.28,35.84,2016,6-7-2016
Norway,Clothes,L,2587,109.28,35.84,2015,6-3-2015
Turkey,Clothes,C,9654,109.28,35.84,2015,5-7-2015
Germany,Meat,H,4098,421.89,364.69,2015,3-9-2015
Iceland,Vegetables,H,1258,154.06,90.93,2016,1-2-2016
Iceland,Vegetables,M,5272,154.06,90.93,2015,9-3-2015
Norway,Vegetables,C,8648,154.06,90.93,2017,5-2-2017
Germany,Vegetables,C,8353,154.06,90.93,2016,2-9-2016
Turkey,Meat,H,1431,421.89,364.69,2015,9-5-2015
Turkey,Meat,L,3403,421.89,364.69,2016,5-4-2016
Norway,Meat,L,9315,421.89,364.69,2015,3-9-2015
Germany,Clothes,L,4127,109.28,35.84,2016,12-10-2016
Turkey,Meat,H,6573,421.89,364.69,2016,2-1-2016
Germany,Clothes,L,2668,109.28,35.84,2015,10-5-2015
Germany,Clothes,M,2433,109.28,35.84,2016,6-12-2016
Norway,Meat,H,2468,421.89,364.69,2016,11-12-2016
Turkey,Vegetables,M,9761,154.06,90.93,2015,3-11-2015
Germany,Vegetables,M,4469,154.06,90.93,2016,2-6-2016
Turkey,Vegetables,C,7465,154.06,90.93,2016,1-10-2016
Norway,Vegetables,H,9557,154.06,90.93,2016,6-9-2016
Germany,Vegetables,H,791,154.06,90.93,2017,7-11-2017
Turkey,Cereal,C,9980,205.7,117.11,2015,5-3-2015
Finland,Cereal,L,4057,205.7,117.11,2017,3-8-2017
Turkey,Meat,L,5723,421.89,364.69,2015,7-7-2015
Germany,Meat,C,8961,421.89,364.69,2015,6-5-2015
Finland,Meat,L,638,421.89,364.69,2015,5-5-2015
Finland,Cereal,C,8785,205.7,117.11,2017,2-11-2017
Iceland,Vegetables,L,4734,154.06,90.93,2016,3-9-2016
Norway,Clothes,M,6399,109.28,35.84,2016,9-12-2016
Finland,Vegetables,C,3738,154.06,90.93,2015,4-3-2015
Turkey,Meat,M,3373,421.89,364.69,2015,9-7-2015
Turkey,Meat,C,5594,421.89,364.69,2015,11-8-2015
Finland,Clothes,M,4753,109.28,35.84,2015,7-2-2015
Norway,Meat,C,7026,421.89,364.69,2016,9-1-2016
Finland,Cereal,L,2775,205.7,117.11,2016,10-11-2016
Iceland,Cereal,C,295,205.7,117.11,2017,7-11-2017
Norway,Vegetables,C,1217,154.06,90.93,2016,1-6-2016
Iceland,Meat,L,6522,421.89,364.69,2016,7-10-2016
Norway,Meat,C,8223,421.89,364.69,2015,10-3-2015
Norway,Vegetables,C,2006,154.06,90.93,2015,4-10-2015
Finland,Cereal,H,8425,205.7,117.11,2016,1-5-2016
Iceland,Vegetables,L,6340,154.06,90.93,2015,2-5-2015
Germany,Meat,H,3720,421.89,364.69,2016,1-6-2016
Iceland,Cereal,C,4439,205.7,117.11,2016,11-8-2016
Germany,Vegetables,M,5462,154.06,90.93,2016,7-12-2016
Norway,Cereal,C,5626,205.7,117.11,2016,8-9-2016
Norway,Clothes,M,8470,109.28,35.84,2016,5-12-2016
Iceland,Vegetables,C,1227,154.06,90.93,2015,5-7-2015
Norway,Vegetables,M,301,154.06,90.93,2017,5-12-2017
Turkey,Cereal,L,8592,205.7,117.11,2015,4-12-2015
Iceland,Vegetables,H,3170,154.06,90.93,2015,5-9-2015
Iceland,Meat,H,9941,421.89,364.69,2015,10-12-2015
Turkey,Vegetables,H,6839,154.06,90.93,2017,5-8-2017
Norway,Clothes,L,4015,109.28,35.84,2015,12-12-2015
Turkey,Cereal,H,4459,205.7,117.11,2015,10-5-2015
Germany,Clothes,H,212,109.28,35.84,2016,4-11-2016
Norway,Clothes,M,3270,109.28,35.84,2015,1-10-2015
Germany,Vegetables,M,7444,154.06,90.93,2017,1-1-2017
Iceland,Clothes,M,6977,109.28,35.84,2016,3-4-2016
Iceland,Clothes,L,3471,109.28,35.84,2015,5-2-2015
Norway,Vegetables,C,2415,154.06,90.93,2015,2-5-2015
Finland,Meat,L,2386,421.89,364.69,2016,7-2-2016
Finland,Clothes,M,3556,109.28,35.84,2016,6-1-2016
Norway,Clothes,C,6352,109.28,35.84,2015,8-1-2015
Germany,Vegetables,H,2557,154.06,90.93,2016,10-1-2016
Finland,Clothes,M,4021,109.28,35.84,2017,3-3-2017
Norway,Vegetables,H,8608,154.06,90.93,2016,11-12-2016
Finland,Cereal,H,9299,205.7,117.11,2016,8-4-2016
Iceland,Vegetables,H,2921,154.06,90.93,2015,11-5-2015
Germany,Vegetables,L,6411,154.06,90.93,2016,2-8-2016
Germany,Meat,C,9706,421.89,364.69,2016,5-6-2016
Finland,Vegetables,H,5680,154.06,90.93,2015,4-5-2015
Turkey,Meat,C,5811,421.89,364.69,2017,2-6-2017
Turkey,Clothes,M,5447,109.28,35.84,2016,11-1-2016
Finland,Meat,C,3206,421.89,364.69,2016,6-2-2016
Germany,Meat,M,6128,421.89,364.69,2016,10-10-2016
Finland,Vegetables,M,1282,154.06,90.93,2015,10-10-2015
Norway,Meat,L,7709,421.89,364.69,2016,4-10-2016
Iceland,Clothes,L,9793,109.28,35.84,2016,10-4-2016
Norway,Vegetables,H,1788,154.06,90.93,2016,6-3-2016
Finland,Meat,C,9369,421.89,364.69,2017,7-12-2017
Iceland,Meat,H,2012,421.89,364.69,2015,6-11-2015
Finland,Clothes,M,2987,109.28,35.84,2016,4-9-2016
Iceland,Meat,L,7880,421.89,364.69,2015,12-4-2015
Norway,Clothes,M,9753,109.28,35.84,2016,10-8-2016
Finland,Meat,C,7598,421.89,364.69,2015,4-4-2015
Iceland,Meat,H,8654,421.89,364.69,2017,7-3-2017
Norway,Vegetables,H,4357,154.06,90.93,2015,2-7-2015
Turkey,Cereal,M,7276,205.7,117.11,2016,5-6-2016
Iceland,Clothes,H,8943,109.28,35.84,2016,3-9-2016
Norway,Cereal,L,898,205.7,117.11,2016,9-3-2016
Turkey,Vegetables,H,7411,154.06,90.93,2015,5-12-2015
Iceland,Cereal,H,467,205.7,117.11,2015,4-5-2015
Finland,Meat,H,5148,421.89,364.69,2016,6-3-2016
Norway,Cereal,C,4286,205.7,117.11,2015,4-9-2015
Turkey,Vegetables,L,4649,154.06,90.93,2015,6-10-2015
Iceland,Clothes,H,5284,109.28,35.84,2015,9-5-2015
Finland,Vegetables,L,8992,154.06,90.93,2017,4-4-2017
Norway,Clothes,M,8879,109.28,35.84,2016,3-10-2016
Norway,Meat,L,6835,421.89,364.69,2015,9-11-2015
Finland,Meat,L,1512,421.89,364.69,2015,12-3-2015
Norway,Cereal,C,3146,205.7,117.11,2017,2-12-2017
Iceland,Vegetables,M,3417,154.06,90.93,2017,4-3-2017
Norway,Meat,M,2573,421.89,364.69,2016,7-8-2016
Iceland,Vegetables,M,1594,154.06,90.93,2017,2-5-2017
Norway,Meat,L,5172,421.89,364.69,2015,11-9-2015
Germany,Cereal,M,1636,205.7,117.11,2016,5-6-2016
Finland,Cereal,H,337,205.7,117.11,2015,5-12-2015
Iceland,Meat,M,4363,421.89,364.69,2015,4-10-2015
Finland,Meat,M,284,421.89,364.69,2016,3-7-2016
Finland,Clothes,H,8974,109.28,35.84,2016,8-8-2016
Iceland,Meat,M,4114,421.89,364.69,2015,10-7-2015
Norway,Cereal,C,4038,205.7,117.11,2015,10-6-2015
Iceland,Meat,M,6594,421.89,364.69,2015,4-3-2015
Germany,Clothes,H,6801,109.28,35.84,2015,4-11-2015
Turkey,Clothes,H,2936,109.28,35.84,2016,9-8-2016
Iceland,Clothes,C,6593,109.28,35.84,2016,5-10-2016
Turkey,Clothes,M,3699,109.28,35.84,2015,9-3-2015
Finland,Clothes,H,828,109.28,35.84,2015,1-8-2015
Iceland,Clothes,M,389,109.28,35.84,2017,3-5-2017
Turkey,Cereal,M,7116,205.7,117.11,2016,1-11-2016
Norway,Meat,C,7331,421.89,364.69,2017,2-8-2017
Norway,Vegetables,L,8867,154.06,90.93,2016,3-8-2016
Iceland,Meat,H,3046,421.89,364.69,2016,5-4-2016
Turkey,Vegetables,C,6094,154.06,90.93,2016,6-5-2016
Norway,Vegetables,C,560,154.06,90.93,2016,9-5-2016
Turkey,Meat,H,8162,421.89,364.69,2016,12-6-2016
Norway,Clothes,M,9127,109.28,35.84,2015,9-12-2015
Iceland,Vegetables,C,5478,154.06,90.93,2017,2-9-2017
Germany,Clothes,M,726,109.28,35.84,2015,10-3-2015
Germany,Cereal,L,762,205.7,117.11,2015,10-7-2015
Finland,Meat,H,3791,421.89,364.69,2017,1-8-2017
Finland,Meat,H,4199,421.89,364.69,2016,11-5-2016
Turkey,Clothes,L,8586,109.28,35.84,2015,12-4-2015
Iceland,Cereal,C,5170,205.7,117.11,2015,3-9-2015
Turkey,Vegetables,M,9903,154.06,90.93,2017,6-11-2017
Turkey,Cereal,M,3846,205.7,117.11,2017,4-12-2017
Turkey,Vegetables,H,7571,154.06,90.93,2015,9-5-2015
Germany,Clothes,H,9777,109.28,35.84,2016,3-6-2016
Norway,Clothes,C,3637,109.28,35.84,2016,10-11-2016
Finland,Clothes,M,5219,109.28,35.84,2016,4-3-2016
Iceland,Clothes,M,9923,109.28,35.84,2016,6-2-2016
Iceland,Meat,H,8086,421.89,364.69,2017,5-12-2017
Germany,Clothes,C,7426,109.28,35.84,2016,5-7-2016
Iceland,Clothes,M,2083,109.28,35.84,2015,4-11-2015
Finland,Clothes,M,2273,109.28,35.84,2016,1-4-2016
Norway,Meat,C,295,421.89,364.69,2015,6-2-2015
Germany,Meat,L,1877,421.89,364.69,2015,1-6-2015
Turkey,Vegetables,H,9642,154.06,90.93,2015,5-6-2015
Norway,Clothes,L,8252,109.28,35.84,2017,7-6-2017
Finland,Vegetables,C,1648,154.06,90.93,2017,7-11-2017
Norway,Meat,M,6176,421.89,364.69,2016,2-5-2016
Finland,Cereal,M,2905,205.7,117.11,2016,6-8-2016
Iceland,Cereal,H,58,205.7,117.11,2015,6-8-2015
Turkey,Clothes,L,8835,109.28,35.84,2015,6-7-2015
Norway,Cereal,L,5290,205.7,117.11,2015,7-6-2015
Norway,Vegetables,H,125,154.06,90.93,2016,8-1-2016
Norway,Clothes,C,3872,109.28,35.84,2016,2-3-2016
Norway,Vegetables,H,9468,154.06,90.93,2017,4-1-2017
Norway,Cereal,H,8211,205.7,117.11,2015,10-1-2015
Germany,Cereal,L,5779,205.7,117.11,2015,9-4-2015
Norway,Meat,H,574,421.89,364.69,2015,8-1-2015
Turkey,Meat,C,6060,421.89,364.69,2016,8-10-2016
Germany,Cereal,M,2102,205.7,117.11,2017,2-6-2017
Norway,Meat,M,1376,421.89,364.69,2017,6-7-2017
Norway,Clothes,M,7756,109.28,35.84,2016,2-6-2016
Iceland,Cereal,H,6789,205.7,117.11,2016,9-7-2016
Turkey,Meat,C,6951,421.89,364.69,2015,4-3-2015
Germany,Vegetables,H,5808,154.06,90.93,2017,6-8-2017
Germany,Meat,C,9676,421.89,364.69,2015,9-9-2015
Turkey,Cereal,C,6054,205.7,117.11,2017,4-3-2017
Germany,Cereal,M,177,205.7,117.11,2015,3-1-2015
Norway,Meat,M,5927,421.89,364.69,2016,8-3-2016
Norway,Meat,M,4893,421.89,364.69,2015,9-10-2015
Iceland,Cereal,L,9799,205.7,117.11,2016,2-11-2016
Norway,Clothes,M,7273,109.28,35.84,2017,4-12-2017
Turkey,Cereal,L,8752,205.7,117.11,2015,8-6-2015
Germany,Meat,M,8856,421.89,364.69,2015,10-10-2015
Finland,Cereal,M,2190,205.7,117.11,2016,3-4-2016
Germany,Cereal,C,4776,205.7,117.11,2015,6-8-2015
Finland,Meat,C,4169,421.89,364.69,2016,3-10-2016
Finland,Meat,C,3295,421.89,364.69,2015,8-11-2015
Iceland,Meat,M,4740,421.89,364.69,2016,11-1-2016
Finland,Vegetables,C,60,154.06,90.93,2016,9-5-2016
Germany,Meat,H,3471,421.89,364.69,2016,7-4-2016
Iceland,Vegetables,H,601,154.06,90.93,2016,9-2-2016
Germany,Meat,L,550,421.89,364.69,2016,4-8-2016
Norway,Vegetables,H,679,154.06,90.93,2016,7-12-2016
Norway,Cereal,C,3323,205.7,117.11,2015,7-2-2015
Iceland,Cereal,H,7521,205.7,117.11,2015,1-6-2015
Turkey,Cereal,C,9572,205.7,117.11,2015,7-6-2015
Norway,Vegetables,M,6299,154.06,90.93,2015,2-9-2015
Iceland,Cereal,C,3259,205.7,117.11,2015,11-2-2015
Norway,Cereal,L,3932,205.7,117.11,2016,2-10-2016
Finland,Vegetables,M,7622,154.06,90.93,2015,4-7-2015
Finland,Cereal,H,6979,205.7,117.11,2017,6-3-2017
Germany,Vegetables,H,2775,154.06,90.93,2015,8-9-2015
Norway,Clothes,C,2514,109.28,35.84,2016,9-9-2016
Finland,Meat,C,3703,421.89,364.69,2015,6-8-2015
Turkey,Cereal,L,6898,205.7,117.11,2017,3-6-2017
Turkey,Vegetables,H,8445,154.06,90.93,2016,4-4-2016
Turkey,Vegetables,L,2795,154.06,90.93,2017,1-8-2017
Turkey,Cereal,M,4081,205.7,117.11,2016,8-4-2016
Germany,Cereal,H,7928,205.7,117.11,2017,2-11-2017
Finland,Vegetables,H,7516,154.06,90.93,2015,8-12-2015
Germany,Meat,C,3819,421.89,364.69,2015,1-7-2015
Iceland,Cereal,L,9711,205.7,117.11,2016,12-3-2016
Turkey,Meat,C,954,421.89,364.69,2017,7-5-2017
Turkey,Vegetables,M,853,154.06,90.93,2017,1-7-2017
Iceland,Vegetables,M,4149,154.06,90.93,2015,8-2-2015
Iceland,Cereal,C,3099,205.7,117.11,2015,7-9-2015
Norway,Meat,L,4675,421.89,364.69,2016,11-2-2016
Iceland,Cereal,M,4072,205.7,117.11,2015,2-7-2015
Germany,Cereal,C,4527,205.7,117.11,2015,12-5-2015
Turkey,Vegetables,M,9513,154.06,90.93,2015,9-7-2015
Finland,Meat,C,975,421.89,364.69,2016,6-8-2016
Iceland,Vegetables,M,6146,154.06,90.93,2016,4-3-2016
Finland,Cereal,H,8891,205.7,117.11,2016,10-7-2016
Finland,Vegetables,L,9955,154.06,90.93,2017,1-11-2017
Norway,Vegetables,H,9965,154.06,90.93,2016,4-7-2016
Finland,Vegetables,C,3254,154.06,90.93,2016,6-7-2016
Germany,Cereal,H,408,205.7,117.11,2016,8-9-2016
Turkey,Vegetables,M,7907,154.06,90.93,2016,10-9-2016
Turkey,Cereal,M,5918,205.7,117.11,2016,12-11-2016
Norway,Cereal,M,7598,205.7,117.11,2017,4-8-2017
Norway,Vegetables,C,9846,154.06,90.93,2016,6-1-2016
